Variant,Seed,Diff_R1,Diff_mAP,Same_R1,Same_mAP,Delta_Diff_R1,Delta_Diff_mAP,Delta_Same_R1,Delta_Same_mAP
N00,0,64.40869319785493,62.16130433901377,99.87090111025046,98.14162041511777,0.0,0.0,0.0,0.0
N00,1,65.08608523849844,62.54289842659496,99.87090111025046,98.23221252961865,0.0,0.0,0.0,0.0
N00,2,66.55376799322607,62.272482407448656,99.87090111025046,98.02373063188456,0.0,0.0,0.0,0.0
N09,0,64.77561388653683,62.1582519691935,99.87090111025046,98.13390060473706,0.3669206886819012,-0.0030523698202671312,0.0,-0.007719810380706349
N09,1,65.19898391193904,62.52375444156727,99.87090111025046,98.22971163764525,0.11289867344059701,-0.019143985027689325,0.0,-0.0025008919733977564
N09,2,66.55376799322607,62.25759679103585,99.81926155435063,98.00788249820891,0.0,-0.014885616412804836,-0.051639555899825496,-0.015848133675646636
N14,0,64.40869319785493,62.11373754937106,99.87090111025046,98.14782604522966,0.0,-0.04756678964270833,0.0,0.006205630111892901
N14,1,65.28365791701948,62.557122192758776,99.87090111025046,98.23000196885683,0.1975726785210412,0.014223766163816265,0.0,-0.002210560761824354
N14,2,66.49731865650578,62.26451006048892,99.81926155435063,98.0124923913663,-0.0564493367202914,-0.007972346959739696,-0.051639555899825496,-0.011238240518267162
N15,0,64.54981653965565,62.16461009432358,99.87090111025046,98.14373199213266,0.1411233418007214,0.0033057553098103654,0.0,0.002111577014886734
N15,1,65.0578605701383,62.531243655194366,99.89672088820036,98.22797496805975,-0.028224668360138594,-0.011654771400593233,0.025819777949905642,-0.004237561558895209
N15,2,66.63844199830652,62.23410733993072,99.81926155435063,98.022169200756,0.0846740050804442,-0.03837506751793285,-0.051639555899825496,-0.00156143112856455
N16,0,64.43691786621507,62.169882887327034,99.87090111025046,98.13626255957388,0.028224668360138594,0.008578548313266765,0.0,-0.005357855543891787
N16,1,65.1143099068586,62.54462419378072,99.89672088820036,98.23463578500787,0.028224668360152805,0.0017257671857606738,0.025819777949905642,0.0024232553892176156
N16,2,66.52554332486594,62.29578702218957,99.89672088820036,98.01771564610047,-0.028224668360138594,0.023304614740915497,0.025819777949905642,-0.006014985784091209
