variant,seed,status,output,final_epoch,error,Diff_R1,Diff_R5,Diff_R10,Diff_R20,Diff_mAP,Same_R1,Same_R5,Same_R10,Same_R20,Same_mAP,epoch,cos_res_sem,cos_com_sem,semantic_margin,semantic_valid_rate
N00,0,complete,outputs/pdf_identity_preservation_v2/seed0/N00_control,50,,64.40869319785493,74.230877787186,78.26700536268699,81.00479819362123,62.16130433901377,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.14162041511777,50,0.0026630747355517663,-0.00046608595589348766,0.003129160673965437,0.9997693726937269
N01,0,complete,outputs/pdf_identity_preservation_v2/seed0/N01_raw_align,50,,64.5780412080158,74.31555179226645,78.35167936776742,81.20237087214225,62.16020067678235,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.13706058832697,50,0.0027890248124994507,-0.0004716422646114444,0.003260667012610027,0.9997693726937269
N02,0,complete,outputs/pdf_identity_preservation_v2/seed0/N02_pres_002,50,,64.46514253457522,74.48489980242732,78.09765735252611,81.06124753034152,62.1547681736905,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.14229023780618,50,0.002685588298186133,-0.000476880485499747,0.0031624687627307205,0.9997693726937269
N03,0,complete,outputs/pdf_identity_preservation_v2/seed0/N03_pres_005,50,,64.40869319785493,74.51312447078747,78.29523003104714,81.11769686706182,62.1272404109725,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.12606003050884,50,0.002768556749766879,-0.0005266064914912732,0.003295163276909505,0.9997693726937269
N04,0,complete,outputs/pdf_identity_preservation_v2/seed0/N04_pres_010,50,,64.38046852949478,74.25910245554614,78.26700536268699,81.08947219870166,62.14607290004801,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.1471018237859,50,0.0028875000680493226,-0.0006009715564069344,0.0034884716641723277,0.9997693726937269
N05,0,complete,outputs/pdf_identity_preservation_v2/seed0/N05_excl_002,50,,64.54981653965565,74.54134913914761,78.35167936776742,81.1741462037821,62.18030320986243,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.14397299181275,50,0.002663614004963807,-0.00046872085307581707,0.003132334803922906,0.9997693726937269
N06,0,complete,outputs/pdf_identity_preservation_v2/seed0/N06_excl_005,50,,64.54981653965565,74.56957380750777,78.32345469940728,81.20237087214225,62.16117189534134,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.13021332815352,50,0.0026476573872579075,-0.0004532319580534024,0.003100889332414004,0.9997693726937269
N07,0,complete,outputs/pdf_identity_preservation_v2/seed0/N07_excl_010,50,,64.29579452441433,74.45667513406717,78.37990403612758,81.06124753034152,62.13630502242623,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.13663452007562,50,0.002643229581255767,-0.0004518828222969458,0.0030951123221685667,0.9997693726937269
N08,0,complete,outputs/pdf_identity_preservation_v2/seed0/N08_rank_002_m01,50,,64.2111205193339,74.40022579734689,78.29523003104714,81.08947219870166,62.1370607064156,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.14300899211663,50,0.002702568896202473,-0.000573255746723585,0.003275824676142022,0.9997693726937269
N09,0,complete,outputs/pdf_identity_preservation_v2/seed0/N09_rank_005_m01,50,,64.77561388653683,74.40022579734689,78.40812870448772,81.11769686706182,62.1582519691935,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.13390060473706,50,0.002813869331768126,-0.0007607107119658044,0.0035745800098130305,0.9997693726937269
N10,0,complete,outputs/pdf_identity_preservation_v2/seed0/N10_rank_005_m02,50,,64.2675698560542,74.40022579734689,78.32345469940728,81.11769686706182,62.13888557400137,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.1381970492067,50,0.002843609207946853,-0.0008022123404262492,0.0036458215481647675,0.9997693726937269
N11,0,complete,outputs/pdf_identity_preservation_v2/seed0/N11_rank_010_m02,50,,64.40869319785493,74.45667513406717,78.32345469940728,81.25882020886255,62.13037977317391,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.14155584593507,50,0.0030424484934821476,-0.0011496256019649818,0.0041920741269269755,0.9997693726937269
N12,0,complete,outputs/pdf_identity_preservation_v2/seed0/N12_pres005_excl002,50,,64.35224386113462,74.20265311882585,78.18233135760654,81.00479819362123,62.08224952030134,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.14223834716003,50,0.002777101797214923,-0.0005414537887121583,0.0033185556461675604,0.9997693726937269
N13,0,complete,outputs/pdf_identity_preservation_v2/seed0/N13_pres005_excl005,50,,64.46514253457522,74.51312447078747,78.29523003104714,81.11769686706182,62.16833747514852,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.13944280002481,50,0.002775270165122218,-0.0005194362333716316,0.0032947063813904584,0.9997693726937269
N14,0,complete,outputs/pdf_identity_preservation_v2/seed0/N14_rank_attribute,50,,64.40869319785493,74.31555179226645,78.26700536268699,81.08947219870166,62.11373754937106,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.14782604522966,50,0.0030126263642491244,-0.0007487093652787634,0.003761335786618769,0.9997693726937269
N15,0,complete,outputs/pdf_identity_preservation_v2/seed0/N15_rank_confidence,50,,64.54981653965565,74.40022579734689,78.23878069432683,81.11769686706182,62.16461009432358,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.14373199213266,50,0.0033605497281979533,-0.0008037779215464665,0.004164327678016592,0.9997693726937269
N16,0,complete,outputs/pdf_identity_preservation_v2/seed0/N16_rank_joint,50,,64.43691786621507,74.40022579734689,78.26700536268699,81.08947219870166,62.169882887327034,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.13626255957388,50,0.0035959620997362846,-0.0008065967699813949,0.004402558825606767,0.9997693726937269
N00,1,complete,outputs/pdf_identity_preservation_v2/seed1/N00,50,,65.08608523849844,74.51312447078747,77.64606265876375,79.8475867908552,62.54289842659496,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.23221252961865,50,0.002862729654592349,-0.00023706343816244177,0.0030997930876072817,0.9997693726937269
N09,1,complete,outputs/pdf_identity_preservation_v2/seed1/N09,50,,65.19898391193904,74.45667513406717,77.56138865368331,79.90403612757551,62.52375444156727,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.22971163764525,50,0.003077411781293314,-0.0006117297231054284,0.003689141506430052,0.9997693726937269
N14,1,complete,outputs/pdf_identity_preservation_v2/seed1/N14,50,,65.28365791701948,74.62602314422806,77.75896133220435,79.87581145921536,62.557122192758776,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.23000196885683,50,0.0032670427485088646,-0.000579409072532253,0.0038464518270204945,0.9997693726937269
N15,1,complete,outputs/pdf_identity_preservation_v2/seed1/N15,50,,65.0578605701383,74.5977984758679,77.64606265876375,79.87581145921536,62.531243655194366,99.89672088820036,99.92254066615027,99.92254066615027,99.94836044410019,98.22797496805975,50,0.0036612464141106285,-0.0006346825828660019,0.004295928879574397,0.9997693726937269
N16,1,complete,outputs/pdf_identity_preservation_v2/seed1/N16,50,,65.1143099068586,74.56957380750777,77.6742873271239,79.8475867908552,62.54462419378072,99.89672088820036,99.92254066615027,99.92254066615027,99.94836044410019,98.23463578500787,50,0.003901049059297006,-0.0006270641287398818,0.004528113195489079,0.9997693726937269
N00,2,complete,outputs/pdf_identity_preservation_v2/seed2/N00,50,,66.55376799322607,74.14620378210556,77.27914197008185,80.01693480101609,62.272482407448656,99.87090111025046,99.92254066615027,99.92254066615027,99.92254066615027,98.02373063188456,50,0.0025480533120605204,0.0001522710734163008,0.0023957821968070437,0.9997693726937269
N09,2,complete,outputs/pdf_identity_preservation_v2/seed2/N09,50,,66.55376799322607,73.94863110358453,77.307366638442,80.15805814281683,62.25759679103585,99.81926155435063,99.92254066615027,99.92254066615027,99.92254066615027,98.00788249820891,50,0.00277079410371376,-0.0002929600379504615,0.0030637542359337145,0.9997693726937269
N14,2,complete,outputs/pdf_identity_preservation_v2/seed2/N14,50,,66.49731865650578,73.94863110358453,77.19446796500141,79.93226079593565,62.26451006048892,99.81926155435063,99.92254066615027,99.92254066615027,99.92254066615027,98.0124923913663,50,0.0029714228681246464,-0.00026768810368348663,0.003239110944913105,0.9997693726937269
N15,2,complete,outputs/pdf_identity_preservation_v2/seed2/N15,50,,66.63844199830652,74.06152977702511,77.19446796500141,79.98871013265594,62.23410733993072,99.81926155435063,99.92254066615027,99.92254066615027,99.92254066615027,98.022169200756,50,0.003538730030576524,-0.0007094341563631543,0.004248164296611521,0.9997693726937269
N16,2,complete,outputs/pdf_identity_preservation_v2/seed2/N16,50,,66.52554332486594,74.17442845046571,77.27914197008185,80.01693480101609,62.29578702218957,99.89672088820036,99.92254066615027,99.92254066615027,99.92254066615027,98.01771564610047,50,0.003749457611759617,-0.0006784192315544012,0.004427876806230132,0.9997693726937269
