Variant,Mechanism,Reliability,LambdaRaw,LambdaPres,LambdaExcl,LambdaRank,Margin,Diff_R1,Diff_R5,Diff_R10,Diff_R20,Diff_mAP,Same_R1,Same_R5,Same_R10,Same_R20,Same_mAP,cos_res_sem,cos_com_sem,semantic_margin,semantic_valid_rate,Delta_Diff_R1,Delta_Diff_mAP,Delta_Same_R1,Delta_Same_mAP
N00,Original PDF / control,none,0.0,0.0,0.0,0.0,0.1,64.40869319785493,74.230877787186,78.26700536268699,81.00479819362123,62.16130433901377,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.14162041511777,0.0026630747355517663,-0.00046608595589348766,0.003129160673965437,0.9997693726937269,0.0,0.0,0.0,0.0
N01,Raw Visual Alignment,none,0.05,0.0,0.0,0.0,0.1,64.5780412080158,74.31555179226645,78.35167936776742,81.20237087214225,62.16020067678235,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.13706058832697,0.0027890248124994507,-0.0004716422646114444,0.003260667012610027,0.9997693726937269,0.1693480101608742,-0.0011036622314151145,0.0,-0.004559826790796251
N02,Residual Identity Preservation,none,0.0,0.02,0.0,0.0,0.1,64.46514253457522,74.48489980242732,78.09765735252611,81.06124753034152,62.1547681736905,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.14229023780618,0.002685588298186133,-0.000476880485499747,0.0031624687627307205,0.9997693726937269,0.0564493367202914,-0.006536165323268506,0.0,0.0006698226884083169
N03,Residual Identity Preservation,none,0.0,0.05,0.0,0.0,0.1,64.40869319785493,74.51312447078747,78.29523003104714,81.11769686706182,62.1272404109725,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.12606003050884,0.002768556749766879,-0.0005266064914912732,0.003295163276909505,0.9997693726937269,0.0,-0.03406392804127023,0.0,-0.015560384608932054
N04,Residual Identity Preservation,none,0.0,0.1,0.0,0.0,0.1,64.38046852949478,74.25910245554614,78.26700536268699,81.08947219870166,62.14607290004801,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.1471018237859,0.0028875000680493226,-0.0006009715564069344,0.0034884716641723277,0.9997693726937269,-0.028224668360152805,-0.015231438965756183,0.0,0.005481408668131849
N05,Identity Leakage Exclusion,none,0.0,0.0,0.02,0.0,0.1,64.54981653965565,74.54134913914761,78.35167936776742,81.1741462037821,62.18030320986243,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.14397299181275,0.002663614004963807,-0.00046872085307581707,0.003132334803922906,0.9997693726937269,0.1411233418007214,0.018998870848662364,0.0,0.002352576694974573
N06,Identity Leakage Exclusion,none,0.0,0.0,0.05,0.0,0.1,64.54981653965565,74.56957380750777,78.32345469940728,81.20237087214225,62.16117189534134,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.13021332815352,0.0026476573872579075,-0.0004532319580534024,0.003100889332414004,0.9997693726937269,0.1411233418007214,-0.00013244367242748467,0.0,-0.011407086964254631
N07,Identity Leakage Exclusion,none,0.0,0.0,0.1,0.0,0.1,64.29579452441433,74.45667513406717,78.37990403612758,81.06124753034152,62.13630502242623,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.13663452007562,0.002643229581255767,-0.0004518828222969458,0.0030951123221685667,0.9997693726937269,-0.11289867344059701,-0.02499931658753951,0.0,-0.004985895042153743
N08,Relative Semantic Ranking,none,0.0,0.0,0.0,0.02,0.1,64.2111205193339,74.40022579734689,78.29523003104714,81.08947219870166,62.1370607064156,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.14300899211663,0.002702568896202473,-0.000573255746723585,0.003275824676142022,0.9997693726937269,-0.197572678521027,-0.02424363259816431,0.0,0.0013885769988633
N09,Relative Semantic Ranking,none,0.0,0.0,0.0,0.05,0.1,64.77561388653683,74.40022579734689,78.40812870448772,81.11769686706182,62.1582519691935,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.13390060473706,0.002813869331768126,-0.0007607107119658044,0.0035745800098130305,0.9997693726937269,0.3669206886819012,-0.0030523698202671312,0.0,-0.007719810380706349
N10,Relative Semantic Ranking,none,0.0,0.0,0.0,0.05,0.2,64.2675698560542,74.40022579734689,78.32345469940728,81.11769686706182,62.13888557400137,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.1381970492067,0.002843609207946853,-0.0008022123404262492,0.0036458215481647675,0.9997693726937269,-0.1411233418007356,-0.02241876501239659,0.0,-0.0034233659110753933
N11,Relative Semantic Ranking,none,0.0,0.0,0.0,0.1,0.2,64.40869319785493,74.45667513406717,78.32345469940728,81.25882020886255,62.13037977317391,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.14155584593507,0.0030424484934821476,-0.0011496256019649818,0.0041920741269269755,0.9997693726937269,0.0,-0.030924565839860918,0.0,-6.456918269748257e-05
N12,Preservation + Exclusion,none,0.0,0.05,0.02,0.0,0.1,64.35224386113462,74.20265311882585,78.18233135760654,81.00479819362123,62.08224952030134,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.14223834716003,0.002777101797214923,-0.0005414537887121583,0.0033185556461675604,0.9997693726937269,-0.05644933672030561,-0.0790548187124287,0.0,0.0006179320422603496
N13,Preservation + Exclusion,none,0.0,0.05,0.05,0.0,0.1,64.46514253457522,74.51312447078747,78.29523003104714,81.11769686706182,62.16833747514852,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.13944280002481,0.002775270165122218,-0.0005194362333716316,0.0032947063813904584,0.9997693726937269,0.0564493367202914,0.007033136134751317,0.0,-0.002177615092961105
N14,Relative Semantic Ranking + Attribute Reliability,attribute,0.0,0.0,0.0,0.05,0.1,64.40869319785493,74.31555179226645,78.26700536268699,81.08947219870166,62.11373754937106,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.14782604522966,0.0030126263642491244,-0.0007487093652787634,0.003761335786618769,0.9997693726937269,0.0,-0.04756678964270833,0.0,0.006205630111892901
N15,Relative Semantic Ranking + Confidence Reliability,confidence,0.0,0.0,0.0,0.05,0.1,64.54981653965565,74.40022579734689,78.23878069432683,81.11769686706182,62.16461009432358,99.87090111025046,99.92254066615027,99.92254066615027,99.94836044410019,98.14373199213266,0.0033605497281979533,-0.0008037779215464665,0.004164327678016592,0.9997693726937269,0.1411233418007214,0.0033057553098103654,0.0,0.002111577014886734
