seed,representation,metric_scope,positive_count,negative_count,positive_mean,negative_mean,D_gap,ROC_AUC,PR_AUC,EER
0,F_visual,same_clothes_A_B,100000,100000,0.8868311742430443,0.39180940513389806,0.4950217691091462,0.999609276,0.9996427398615144,0.00689
0,F_visual,different_clothes_A_C_B_C,200000,100000,0.8462987836876041,0.39180940513389806,0.4544893785537061,0.9991693594,0.9995962697386227,0.01126
0,F_visual,different_clothes_A_C,100000,100000,0.849841638613577,0.39180940513389806,0.4580322334796789,0.9993229762,0.9993564316932598,0.01088
0,F_visual,different_clothes_B_C,100000,100000,0.8427559287616316,0.39180940513389806,0.4509465236277336,0.9990157426,0.9990947811164274,0.01172
0,F_cloth,same_clothes_A_B,100000,100000,0.9626472667205872,0.9021939990813359,0.060453267639251296,0.9937970854,0.994632173616148,0.03506
0,F_cloth,different_clothes_A_C_B_C,200000,100000,0.948324469455027,0.9021939990813359,0.04613047037369111,0.9734204459,0.9863424321570943,0.08246
0,F_cloth,different_clothes_A_C,100000,100000,0.950292917846865,0.9021939990813359,0.048098918765529075,0.9790030068,0.9799059932812603,0.0721
0,F_cloth,different_clothes_B_C,100000,100000,0.9463560210631891,0.9021939990813359,0.04416202198185315,0.967837885,0.9691055848772328,0.09194
1,F_visual,same_clothes_A_B,100000,100000,0.8887916868117728,0.4038289194032831,0.4849627674084897,0.9995908612,0.9996267475365619,0.00693
1,F_visual,different_clothes_A_C_B_C,200000,100000,0.8488687255815774,0.4038289194032831,0.44503980617829436,0.99916492275,0.9995911811034152,0.01132
1,F_visual,different_clothes_A_C,100000,100000,0.8524406447368325,0.4038289194032831,0.44861172533354937,0.9993064667,0.9993406418751365,0.01065
1,F_visual,different_clothes_B_C,100000,100000,0.8452968064263229,0.4038289194032831,0.4414678870230398,0.9990233788,0.9990850408893593,0.01219
1,F_cloth,same_clothes_A_B,100000,100000,0.966595293826089,0.9112256453773437,0.05536964844874526,0.9923329362,0.9936325746857521,0.03862
1,F_cloth,different_clothes_A_C_B_C,200000,100000,0.9531566866358656,0.9112256453773437,0.04193104125852187,0.96896439865,0.9846414063856272,0.0875
1,F_cloth,different_clothes_A_C,100000,100000,0.9552463432016464,0.9112256453773437,0.044020697824302624,0.9768105875,0.9787137273082054,0.07391
1,F_cloth,different_clothes_B_C,100000,100000,0.9510670300700849,0.9112256453773437,0.03984138469274112,0.9611182098,0.9648079645281735,0.09935
2,F_visual,same_clothes_A_B,100000,100000,0.8937274776094942,0.42520480230200003,0.4685226753074942,0.9995992831,0.9996360555642086,0.00676
2,F_visual,different_clothes_A_C_B_C,200000,100000,0.85524591324825,0.42520480230200003,0.4300411109462499,0.99914123165,0.9995854579519382,0.01144
2,F_visual,different_clothes_A_C,100000,100000,0.8585311180030414,0.42520480230200003,0.43332631570104135,0.9992909374,0.9993393597848395,0.01072
2,F_visual,different_clothes_B_C,100000,100000,0.8519607084934586,0.42520480230200003,0.4267559061914586,0.9989915259,0.9990747190910553,0.01222
2,F_cloth,same_clothes_A_B,100000,100000,0.9682743243231192,0.9155956494353409,0.05267867488777833,0.9945909541,0.995351873437997,0.03179
2,F_cloth,different_clothes_A_C_B_C,200000,100000,0.9552519186019919,0.9155956494353409,0.03965626916665099,0.9726488416,0.9860331388027944,0.0828
2,F_cloth,different_clothes_A_C,100000,100000,0.9568908423118029,0.9155956494353409,0.041295192876461995,0.9771219587,0.9785409816995765,0.07483
2,F_cloth,different_clothes_B_C,100000,100000,0.9536129948921812,0.9155956494353409,0.038017345456840324,0.9681757245,0.969509384424181,0.09048
