layer,positive_mean_mean,positive_mean_std,negative_mean_mean,negative_mean_std,D_gap_mean,D_gap_std,ROC_AUC_mean,ROC_AUC_std
0,1.0000000158928104,1.6079872983247092e-07,1.0000000158928106,1.607987300079984e-07,-1.4802973661668753e-16,2.0934566115783667e-16,0.5,0.0
1,0.9985924402740022,1.3235116846540144e-05,0.9985763617625724,1.1891137602538347e-05,1.6078511429743852e-05,1.3493634577095367e-06,0.5120372931833334,0.00028367497936346043
2,0.9987008420398422,1.122298473754875e-05,0.9986845615299158,1.0248103662486134e-05,1.6280509926377047e-05,1.3833943466791787e-06,0.51487921625,0.00035696831817582834
3,0.9977606490523829,1.0171358731431216e-05,0.9977036189775378,9.955932938281408e-06,5.703007484503253e-05,1.0132482010556665e-06,0.5152744414666667,0.00024337686175373674
4,0.9952135264430811,4.107198720977575e-05,0.9951428581416146,3.626376793558606e-05,7.066830146644036e-05,6.323511769013772e-06,0.5100031224166667,0.0007824447217357522
5,0.9919643820077423,0.00010153981299556925,0.9917245476327147,9.671000534496019e-05,0.0002398343750275774,7.292208911173621e-06,0.5181168479333333,0.000794306593832135
6,0.9882882867482672,6.992963778090755e-05,0.9878929795047333,6.795961799308661e-05,0.00039530724353390817,9.510150273911098e-06,0.5209726103833333,0.0006280178766676915
7,0.9883406823126141,0.00013683578766455405,0.9877118473365104,0.0001361795512327503,0.0006288349761036279,2.3233505398133265e-05,0.5381166090666667,0.0017299094373439954
8,0.9903236362496965,0.00016291683355808178,0.9896851798628111,0.00015531969798885027,0.000638456386885311,7.772049138927574e-06,0.5473634146166667,0.0018351924714846018
9,0.9933089318455401,0.00016474483608762384,0.9925714534358043,0.00018788690704147812,0.0007374784097358145,3.1476691599638555e-05,0.5825808328166667,0.0035844009453225123
10,0.9954528174743338,7.798034131211503e-05,0.9936570683264251,0.00013305924703727103,0.0017957491479088095,5.6345079616420136e-05,0.78213738135,0.0016810266783221677
11,0.9855327745829721,0.0003402870475427646,0.9624363457297488,0.0010485639600467556,0.023096428853223345,0.0007088905691081738,0.9792814232166666,0.00038795836780151265
12,0.9175717323678289,0.0015071595767726946,0.6534427895510778,0.00490177233571755,0.2641289428167511,0.003449896743096546,0.9991194049166666,1.239134580435271e-05
